	patient	component_size	other	CD15-Tumor	CD15+Tumor	Tcell	Bcell	BnTcell	Macrophage	Neutrophil	DC
519	0217	384	0.5625	0.10416666666666667	0.0	0.22916666666666666	0.0	0.0	0.1015625	0.0026041666666666665	0.0
520	0217	312	0.5705128205128205	0.09935897435897435	0.0	0.2532051282051282	0.003205128205128205	0.0	0.07371794871794872	0.0	0.0
521	0217	55	0.4	0.10909090909090909	0.0	0.36363636363636365	0.0	0.0	0.12727272727272726	0.0	0.0
522	0217	139	0.5683453237410072	0.1223021582733813	0.0	0.17266187050359713	0.02158273381294964	0.007194244604316547	0.10071942446043165	0.007194244604316547	0.0
523	0217	177	0.3163841807909605	0.2768361581920904	0.0	0.1977401129943503	0.0	0.0	0.2033898305084746	0.0	0.005649717514124294
524	0217	171	0.3742690058479532	0.36257309941520466	0.0	0.19883040935672514	0.005847953216374269	0.005847953216374269	0.04678362573099415	0.0	0.005847953216374269
525	0217	97	0.3711340206185567	0.32989690721649484	0.0	0.23711340206185566	0.020618556701030927	0.020618556701030927	0.020618556701030927	0.0	0.0
526	0217	97	0.12371134020618557	0.5670103092783505	0.0	0.12371134020618557	0.1134020618556701	0.061855670103092786	0.010309278350515464	0.0	0.0
527	0217	126	0.46825396825396826	0.16666666666666666	0.0	0.1746031746031746	0.023809523809523808	0.0	0.16666666666666666	0.0	0.0
528	0217	157	0.2356687898089172	0.5286624203821656	0.0	0.14012738853503184	0.0	0.0	0.09554140127388536	0.0	0.0
529	0217	863	0.40903823870220163	0.21784472769409038	0.0	0.2398609501738123	0.027809965237543453	0.011587485515643106	0.0880648899188876	0.002317497103128621	0.0034762456546929316
530	0217	218	0.22477064220183487	0.3165137614678899	0.0	0.26605504587155965	0.07339449541284404	0.03669724770642202	0.0779816513761468	0.0	0.0045871559633027525
531	0217	98	0.45918367346938777	0.2653061224489796	0.0	0.20408163265306123	0.0	0.0	0.07142857142857142	0.0	0.0
532	0217	135	0.5851851851851851	0.037037037037037035	0.0	0.22962962962962963	0.007407407407407408	0.007407407407407408	0.13333333333333333	0.0	0.0
533	0217	121	0.5041322314049587	0.19834710743801653	0.0	0.1652892561983471	0.008264462809917356	0.0	0.12396694214876033	0.0	0.0
534	0217	101	0.49504950495049505	0.06930693069306931	0.0	0.3069306930693069	0.0	0.0	0.12871287128712872	0.0	0.0
535	0217	109	0.5045871559633027	0.13761467889908258	0.0	0.3211009174311927	0.009174311926605505	0.027522935779816515	0.0	0.0	0.0
536	0217	1130	0.4672566371681416	0.22389380530973452	0.0	0.23539823008849559	0.018584070796460177	0.012389380530973451	0.03982300884955752	0.0	0.002654867256637168
537	0217	1641	0.4741011578305911	0.12797074954296161	0.0	0.31444241316270566	0.024984765386959172	0.017672151127361365	0.037781840341255334	0.0	0.0030469226081657527
538	0217	129	0.5038759689922481	0.18604651162790697	0.0	0.15503875968992248	0.0	0.0	0.15503875968992248	0.0	0.0
539	0217	127	0.5275590551181102	0.1889763779527559	0.007874015748031496	0.1889763779527559	0.0	0.0	0.08661417322834646	0.0	0.0
540	0217	140	0.6642857142857143	0.05714285714285714	0.0	0.17857142857142858	0.02142857142857143	0.007142857142857143	0.07142857142857142	0.0	0.0
541	0217	148	0.36486486486486486	0.3783783783783784	0.0	0.14189189189189189	0.006756756756756757	0.0	0.10810810810810811	0.0	0.0
542	0217	118	0.7288135593220338	0.0423728813559322	0.0	0.1694915254237288	0.01694915254237288	0.00847457627118644	0.03389830508474576	0.0	0.0
543	0217	163	0.7852760736196319	0.04294478527607362	0.0	0.13496932515337423	0.0	0.0	0.03680981595092025	0.0	0.0
544	0217	166	0.4939759036144578	0.30120481927710846	0.0	0.18072289156626506	0.0	0.0	0.024096385542168676	0.0	0.0
545	0217	133	0.20300751879699247	0.3533834586466165	0.0	0.21804511278195488	0.0	0.0	0.22556390977443608	0.0	0.0
546	0217	129	0.4263565891472868	0.24806201550387597	0.0	0.17829457364341086	0.015503875968992248	0.007751937984496124	0.12403100775193798	0.0	0.0
547	0217	213	0.352112676056338	0.3380281690140845	0.0	0.2676056338028169	0.0	0.0	0.04225352112676056	0.0	0.0
548	0217	412	0.32281553398058255	0.32524271844660196	0.0	0.25	0.009708737864077669	0.0	0.09223300970873786	0.0	0.0
549	0217	92	0.6630434782608695	0.10869565217391304	0.0	0.22826086956521738	0.0	0.0	0.0	0.0	0.0
550	0217	163	0.2331288343558282	0.3128834355828221	0.006134969325153374	0.22085889570552147	0.006134969325153374	0.03680981595092025	0.17177914110429449	0.006134969325153374	0.006134969325153374
551	0217	107	0.32710280373831774	0.32710280373831774	0.009345794392523364	0.22429906542056074	0.028037383177570093	0.037383177570093455	0.04672897196261682	0.0	0.0
552	0217	118	0.5254237288135594	0.025423728813559324	0.0	0.3389830508474576	0.0	0.01694915254237288	0.09322033898305085	0.0	0.0
553	0217	374	0.3422459893048128	0.26737967914438504	0.0	0.32620320855614976	0.0106951871657754	0.016042780748663103	0.02406417112299465	0.0	0.013368983957219251
554	0217	1935	0.38397932816537467	0.11627906976744186	0.0	0.3736434108527132	0.018604651162790697	0.011886304909560724	0.08062015503875969	0.00516795865633075	0.009819121447028423
555	0217	109	0.1559633027522936	0.3944954128440367	0.009174311926605505	0.29357798165137616	0.027522935779816515	0.0	0.11926605504587157	0.0	0.0
556	0217	141	0.4326241134751773	0.19148936170212766	0.0	0.22695035460992907	0.0	0.0	0.14893617021276595	0.0	0.0
557	0217	172	0.4418604651162791	0.22674418604651161	0.0	0.25	0.005813953488372093	0.0	0.0755813953488372	0.0	0.0
558	0217	714	0.23809523809523808	0.26750700280112044	0.0028011204481792717	0.33053221288515405	0.01680672268907563	0.014005602240896359	0.1134453781512605	0.0	0.01680672268907563
559	0217	269	0.4684014869888476	0.1524163568773234	0.0	0.26022304832713755	0.007434944237918215	0.0	0.10780669144981413	0.0037174721189591076	0.0
560	0217	6530	0.20581929555895864	0.2684532924961715	0.005053598774885145	0.3130168453292496	0.02787136294027565	0.016385911179173047	0.15880551301684534	0.0030627871362940277	0.0015313935681470138
561	0217	1537	0.4046844502277163	0.16785946649316852	0.0006506180871828237	0.27260897852960314	0.011711125569290826	0.00520494469746259	0.12752114508783344	0.00520494469746259	0.004554326610279766
562	0217	130	0.5461538461538461	0.08461538461538462	0.0	0.2	0.0	0.007692307692307693	0.16153846153846155	0.0	0.0
563	0217	161	0.35403726708074534	0.36024844720496896	0.0	0.20496894409937888	0.012422360248447204	0.006211180124223602	0.055900621118012424	0.0	0.006211180124223602
